Report ID,Report Version,Make,Model,Model Year,ADS Equipped?,Automation System Engaged?,Incident Time (24:00),City,State,Roadway Type,Roadway Surface,Posted Speed Limit (MPH),Lighting,Crash With,Highest Injury Severity Alleged,SV Pre-Crash Movement,Weather,SV Contact Area,Country,Incident_Year,Incident_Month,Incident_DayOfWeek
25.0,2.0,47.0,95.0,6.0,0.0,0.0,30960,1224.0,34.0,0.0,3.0,6.0,3.0,10.0,1.0,13.0,11.0,0.0,0.0,2025,5,3
26.0,3.0,47.0,52.0,6.0,0.0,0.0,54780,646.0,33.0,0.0,0.0,6.0,3.0,8.0,3.0,13.0,0.0,31.0,0.0,2025,7,1
27.0,3.0,47.0,52.0,6.0,0.0,0.0,17700,175.0,33.0,0.0,0.0,6.0,1.0,0.0,1.0,13.0,0.0,31.0,0.0,2025,7,0
28.0,3.0,47.0,52.0,7.0,0.0,0.0,46200,1016.0,3.0,0.0,0.0,6.0,3.0,14.0,1.0,1.0,2.0,36.0,0.0,2025,10,2
29.0,1.0,47.0,95.0,7.0,0.0,0.0,44640,1296.0,16.0,0.0,0.0,7.0,3.0,0.0,3.0,13.0,0.0,31.0,0.0,2025,6,6
30.0,2.0,47.0,52.0,6.0,0.0,0.0,27000,233.0,17.0,0.0,0.0,7.0,3.0,11.0,4.0,13.0,0.0,31.0,0.0,2025,11,5
31.0,2.0,47.0,95.0,6.0,0.0,0.0,63060,89.0,11.0,0.0,0.0,6.0,1.0,11.0,1.0,13.0,0.0,31.0,0.0,2025,12,0
32.0,3.0,47.0,36.0,7.0,0.0,0.0,56820,163.0,43.0,4.0,3.0,4.0,3.0,13.0,1.0,13.0,4.0,31.0,0.0,2025,12,0
33.0,3.0,47.0,95.0,7.0,0.0,0.0,34800,547.0,26.0,3.0,0.0,6.0,3.0,3.0,3.0,9.0,4.0,31.0,0.0,2025,2,6
34.0,2.0,47.0,95.0,7.0,0.0,0.0,1800,1055.0,26.0,0.0,0.0,6.0,1.0,9.0,2.0,13.0,0.0,31.0,0.0,2025,11,5
35.0,1.0,47.0,95.0,6.0,0.0,0.0,78000,380.0,49.0,0.0,0.0,7.0,1.0,0.0,3.0,13.0,0.0,31.0,0.0,2025,3,6
