Report ID,Report Version,Make,Model,Model Year,ADS Equipped?,Automation System Engaged?,Incident Date,Incident Time (24:00),City,State,Roadway Type,Roadway Surface,Posted Speed Limit (MPH),Lighting,Crash With,Highest Injury Severity Alleged,SV Pre-Crash Movement,Weather,SV Contact Area,Country
30270-10425,1,Jaguar,I-PACE,2024.0,Yes,ADS,2025-03-21,10:42:00,San Francisco,CA ,Street,Dry,25.0,Daylight,Passenger Car,No Injuries Reported,Proceeding Straight,Clear,Back,US
30270-10426,1,Jaguar,I-PACE,2024.0,Yes,ADS,2025-03-21,01:52:00,West Hollywood,CA ,Street,Dry,30.0,Dark - Lighted,Passenger Car,No Injuries Reported,Stopped,Clear,Back,US
30270-10427,1,Jaguar,I-PACE,2024.0,Yes,ADS,2025-03-21,16:10:00,Phoenix,AZ ,Intersection,Dry,35.0,Daylight,Passenger Car,No Injuries Reported,Stopped,Clear,Back,US
30270-10428,1,Jaguar,I-PACE,2024.0,Yes,ADS,2025-03-21,23:42:00,Los Angeles,CA ,Street,Dry,25.0,Dark - Lighted,Passenger Car,No Injuries Reported,Stopped,Clear,Back,US
30270-10435,1,Jaguar,I-Pace,2024.0,Yes,ADS,2025-03-21,06:49:00,Phoenix,AZ ,Street,Dry,25.0,Daylight,Passenger Car,No Injuries Reported,Parked,Clear,Front,US
30270-10436,1,Jaguar,I-Pace,2024.0,Yes,ADS,2025-02-21,17:06:00,San Francisco,CA ,Street,Dry,25.0,Daylight,Passenger Car,No Injuries Reported,Stopped,Cloudy,Back,US
30270-10438,1,Jaguar,I-Pace,2024.0,Yes,ADS,2025-03-21,11:01:00,Los Angeles,CA ,Intersection,Dry,35.0,Daylight,Pickup Truck,No Injuries Reported,Stopped,Clear,Back,US
30270-10439,1,Jaguar,I-Pace,2024.0,Yes,ADS,2025-03-21,16:30:00,Venice,CA ,Street,Dry,15.0,Daylight,SUV,No Injuries Reported,Parked,Cloudy,Back,US
30270-10442,1,Jaguar,I-Pace,2024.0,Yes,ADS,2025-03-21,19:13:00,San Francisco,CA ,Street,Dry,25.0,Dark - Lighted,Passenger Car,No Injuries Reported,Stopped,Clear,Back,US
30270-10443,1,Jaguar,I-Pace,2024.0,Yes,ADS,2025-03-21,10:05:00,San Francisco,CA ,Street,Dry,25.0,Daylight,Passenger Car,No Injuries Reported,Stopped,Cloudy,Back,US
30270-10444,1,Jaguar,I-Pace,2024.0,Yes,ADS,2025-03-21,20:19:00,San Francisco,CA ,Street,Dry,25.0,Dark - Lighted,Passenger Car,No Injuries Reported,Proceeding Straight,Clear,Offside,US
30270-10446,1,Jaguar,I-PACE,2021.0,Yes,ADS,2025-03-21,04:23:00,San Francisco,CA ,Street,Dry,25.0,Dark - Lighted,Pickup Truck,No Injuries Reported,Parked,Clear,Front,US
30270-10447,1,Jaguar,I-PACE,2024.0,Yes,ADS,2025-03-21,13:05:00,San Francisco,CA ,Street,Dry,25.0,Daylight,SUV,Minor,Parked,Clear,Offside,US
30270-10448,1,Jaguar,I-PACE,2024.0,Yes,ADS,2025-03-21,17:40:00,Austin,TX ,Street,Dry,25.0,Daylight,Heavy Truck,No Injuries Reported,Stopped,Clear,Front,US
30270-10449,1,Jaguar,I-Pace,2024.0,Yes,ADS,2025-03-21,15:15:00,San Francisco,CA ,Street,Dry,25.0,Daylight,First Responder Vehicle,No Injuries Reported,Parked,Clear,Back,US
30270-10450,1,Jaguar,I-Pace,2024.0,Yes,ADS,2025-03-21,00:51:00,Austin,TX ,Street,Dry,25.0,Dark - Lighted,Van,No Injuries Reported,Parked,Clear,Back,US
30270-10451,1,Jaguar,I-Pace,2024.0,Yes,ADS,2025-03-21,12:36:00,San Francisco,CA ,Street,Dry,25.0,Daylight,SUV,No Injuries Reported,Parked,Clear,Front,US
30270-10452,1,Jaguar,I-Pace,2024.0,Yes,ADS,2025-03-21,00:53:00,Los Angeles,CA ,Street,Dry,25.0,Dark - Lighted,SUV,No Injuries Reported,Stopped,Clear,Back,US
30270-10453,1,Jaguar,I-Pace,2024.0,Yes,ADS,2025-03-21,15:19:00,San Francisco,CA ,Street,Dry,25.0,Daylight,Pickup Truck,No Injuries Reported,Parked,Clear,Back,US
30270-10454,1,Jaguar,I-PACE,2024.0,Yes,ADS,2025-03-21,20:01:00,San Francisco,CA ,Street,Dry,25.0,Dark - Lighted,Passenger Car,No Injuries Reported,Stopped,Clear,Front,US
