Report ID,Report Version,Make,Model,Model Year,Mileage,ADS Equipped?,Automation System Engaged?,Incident Date,Incident Time (24:00),City,State,Roadway Type,Roadway Surface,Roadway Description,Posted Speed Limit (MPH),Lighting,Crash With,Highest Injury Severity Alleged,Property Damage?,SV Pre-Crash Movement,SV Precrash Speed (MPH),Within ODD?,CP Contact Area,Weather,SV Contact Area,Country
13781-4096,2,Tesla,Model 3,2019-01-01,33350.0,No,ADAS,2025-10-22,23:15:00,Los Gatos,CA ,Highway / Freeway,Dry,No Unusual Conditions,65.0,Daylight,Passenger Car,Unknown,Yes,Proceeding Straight,77.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Rear Left, Rear",Clear,"Front, Front Right",US
13781-4097,2,Tesla,Model 3,2018-01-01,60040.0,No,ADAS,2025-10-22,20:08:00,Vacaville,CA ,Highway / Freeway,Dry,Traffic Incident,65.0,Daylight,Pickup Truck,Unknown,Yes,Proceeding Straight,33.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Rear Left, Left, Front Left",Cloudy,"Front Left, Front, Front Right",US
13781-4098,2,Tesla,Model X,2020-01-01,41912.0,No,ADAS,2025-10-22,19:18:00,Glendora,CA ,Highway / Freeway,Dry,No Unusual Conditions,65.0,Daylight,Other Fixed Object,Unknown,Yes,Proceeding Straight,63.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,Clear,"Rear Left, Left, Front Left",US
13781-4099,2,Tesla,Model 3,2020-01-01,33370.0,No,ADAS,2025-10-22,06:15:00,Mango,FL ,Highway / Freeway,Dry,No Unusual Conditions,70.0,Dark - Lighted,Pickup Truck,Unknown,Yes,Proceeding Straight,69.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Front Left, Front",Clear,"Rear Left, Rear",US
13781-4100,2,Tesla,Model Y,2022-01-01,16477.0,No,ADAS,2025-10-22,10:05:00,Castro Valley,CA ,Intersection,Dry,No Unusual Conditions,35.0,Dark - Not Lighted,"Other, see Narrative",Unknown,Yes,Proceeding Straight,23.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,Clear,"Rear Left, Left, Front Left, Rear, Front, Rear Right, Right, Front Right, Bottom",US
13781-4101,2,Tesla,Model 3,2022-01-01,23333.0,No,ADAS,2025-10-22,04:02:00,Hillview,KY ,Rural Road,Dry,No Unusual Conditions,45.0,Dark - Not Lighted,Unknown,Unknown,Yes,Proceeding Straight,28.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,Clear,Missing,US
13781-4102,2,Tesla,Model Y,2022-01-01,17028.0,No,ADAS,2025-10-22,22:25:00,Renton,WA ,Intersection,Wet,No Unusual Conditions,35.0,Daylight,Passenger Car,Unknown,Yes,Proceeding Straight,44.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Front, Right, Front Right","Cloudy, Rain","Front Left, Front",US
13781-4103,2,Tesla,Model Y,2021-01-01,12888.0,No,ADAS,2025-10-22,13:23:00,Stockton,CA ,Rural Road,Dry,No Unusual Conditions,50.0,Dark - Not Lighted,"Other, see Narrative",Unknown,Yes,Proceeding Straight,30.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,Clear,"Rear Left, Left, Front Left, Rear",US
13781-4105,2,Tesla,Model 3,2022-01-01,34847.0,No,ADAS,2025-10-22,15:22:00,San Jose,CA ,Highway / Freeway,Dry,No Unusual Conditions,65.0,Daylight,Other Fixed Object,Unknown,Yes,Proceeding Straight,35.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,Clear,"Front Left, Front, Front Right",US
13781-4106,2,Tesla,Model Y,2020-01-01,25906.0,No,ADAS,2025-10-22,18:20:00,Frisco,TX ,Highway / Freeway,Wet,No Unusual Conditions,50.0,Daylight,Other Fixed Object,Unknown,Yes,Proceeding Straight,39.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,"Cloudy, Rain","Front Left, Front, Front Right",US
